Región;Latitud;Longitud;Edad;CAR;MODULO;PT;PTE;PP;UDD;UDA;TF;TIE;CF;MF;AF;FD;CERA;CEER;CEAD;CEMT;CEAG;IE
LIMA;-12.0431805;-77.0282364;17;AS;1;11.6;9.8;10.7;6;2;1;1;11;8;10;29;71.58;108.02;86.62;79.76;81.21;80.48
LIMA;-12.0431805;-77.0282364;19;AS;3;12.8;12.5;12.6;2;7;1;1;11;9;10;30;73.25;73.86;85.15;86.84;81.21;75.87
LIMA;-12.0431805;-77.0282364;18;AS;2;15.7;13.7;14.7;1;7;1;1;14;10;11;35;72.42;91.68;76.32;95.33;91.55;81.80
LIMA;-12.0431805;-77.0282364;20;PA;2;13.3;13.0;13.1;0;9;1;1;13;10;12;35;74.92;112.48;95.44;79.76;88.10;86.09
LIMA;-12.0431805;-77.0282364;19;PA;3;12.6;12.8;12.7;2;8;1;1;13;9;13;35;74.92;105.05;71.91;84.01;84.66;79.82
PIURA;-5.19449;-80.6328201;19;PA;3;14.3;13.2;13.7;2;8;1;1;15;13;10;38;69.92;59.01;79.26;93.92;95.00;74.22
LIMA;-12.0431805;-77.0282364;19;PA;2;11.3;13.3;12.3;5;4;1;1;11;12;10;33;70.75;79.80;77.79;81.18;82.93;74.22
AYACUCHO;-13.1587801;-74.2232132;22;PA;3;13.4;13.8;13.6;0;10;1;1;9;7;9;25;71.58;99.11;88.09;85.42;88.10;82.13
LIMA;-12.0431805;-77.0282364;19;PA;3;14.3;14.0;14.1;1;9;1;1;12;10;10;32;70.75;91.68;86.62;81.18;81.21;76.86
LIMA;-12.0431805;-77.0282364;19;PA;3;14.1;14.3;14.2;1;8;1;1;13;9;13;35;77.42;112.48;93.97;91.08;100.17;90.04
AYACUCHO;-13.1587801;-74.2232132;19;PA;3;14.1;15.0;14.6;0;10;1;1;14;11;10;35;73.25;102.08;85.15;88.25;89.83;83.45
LIMA;-12.0431805;-77.0282364;20;PA;3;16.1;15.4;15.7;0;9;1;1;12;10;9;31;72.42;96.14;93.97;91.08;93.28;84.11
ICA;-14.06777;-75.7286072;19;PA;3;13.2;13.0;13.1;2;7;1;1;12;10;8;30;76.58;88.71;77.79;79.76;81.21;77.52
LIMA;-12.0431805;-77.0282364;19;AS;3;12.5;11.8;12.1;4;5;1;1;10;6;7;23;60.75;66.44;80.74;95.33;81.21;70.59
LIMA;-12.0431805;-77.0282364;17;PA;1;14.8;13.8;14.3;0;10;1;1;12;7;8;27;71.58;61.98;73.38;74.10;76.03;66.97
LIMA;-12.0431805;-77.0282364;17;PA;1;14.6;13.1;13.9;1;9;1;1;15;11;12;38;72.42;112.48;98.38;81.18;89.83;87.08
LIMA;-12.0431805;-77.0282364;22;PA;1;15.3;16.0;15.7;0;10;1;1;13;9;13;35;67.42;90.20;86.62;79.76;98.45;77.19
LIMA;-12.0431805;-77.0282364;19;PA;3;14.1;14.3;14.2;1;8;1;1;13;7;6;26;58.25;57.52;70.44;79.76;65.69;60.04
LIMA;-12.0431805;-77.0282364;19;AS;1;14.4;13.4;13.9;1;7;1;1;13;9;8;30;84.08;84.26;93.97;86.84;93.28;86.09
